player_id,tournament_id,target_date,value_eur,value_date
P-00465,WC-2022,11/20/2022,17000000,7/6/2022
P-00916,WC-2006,6/9/2006,6000000,7/8/2005
P-01416,WC-2014,6/12/2014,25000000,12/6/2013
P-01730,WC-2018,6/14/2018,7000000,5/6/2018
P-02231,WC-2014,6/12/2014,15000000,12/6/2013
P-02328,WC-2006,6/9/2006,5000000,11/4/2005
P-02328,WC-2010,6/11/2010,15000000,1/1/2008
P-02328,WC-2014,6/12/2014,16000000,2/7/2013
P-02609,WC-2018,6/14/2018,1250000,12/2/2015
P-03265,WC-2022,11/20/2022,28000000,7/11/2022
P-03945,WC-2022,11/20/2022,50000000,9/11/2022
P-04065,WC-2006,6/9/2006,4000000,2/6/2006
P-04201,WC-2010,6/11/2010,1000000,6/6/2006
P-04224,WC-2010,6/11/2010,5500000,10/7/2009
P-04224,WC-2014,6/12/2014,35000000,3/11/2014
P-04224,WC-2018,6/14/2018,45000000,5/6/2018
P-04469,WC-2006,6/9/2006,8500000,11/11/2005
P-04686,WC-2018,6/14/2018,25000000,5/6/2018
P-04964,WC-2018,6/14/2018,30000000,1/6/2017
P-05630,WC-2010,6/11/2010,1500000,10/6/2009
P-05758,WC-2014,6/12/2014,30000000,7/8/2012
P-06285,WC-2010,6/11/2010,2400000,6/10/2009
P-06338,WC-2018,6/14/2018,25000000,5/6/2018
P-07153,WC-2018,6/14/2018,65000000,4/6/2018
P-07259,WC-2018,6/14/2018,850000,5/6/2018
P-07670,WC-2018,6/14/2018,25000000,1/1/2018
P-08154,WC-2006,6/9/2006,7000000,7/8/2005
P-08916,WC-2018,6/14/2018,4000000,6/6/2018
P-09338,WC-2018,6/14/2018,500000,1/7/2015
P-09441,WC-2014,6/12/2014,20000000,12/6/2013
P-09658,WC-2018,6/14/2018,50000000,2/1/2018
P-09867,WC-2022,11/20/2022,55000000,11/11/2022
P-09990,WC-2014,6/12/2014,450000,3/6/2010
P-10063,WC-2018,6/14/2018,3000000,1/7/2015
P-10221,WC-2018,6/14/2018,1500000,4/6/2018
P-10231,WC-2022,11/20/2022,4000000,7/11/2022
P-10244,WC-2014,6/12/2014,1000000,12/1/2013
P-10713,WC-2010,6/11/2010,6000000,10/6/2009
P-10739,WC-2022,11/20/2022,6500000,8/2/2022
P-10960,WC-2010,6/11/2010,450000,6/9/2009
P-11275,WC-2014,6/12/2014,3000000,2/7/2013
P-11392,WC-2010,6/11/2010,28000000,2/8/2010
P-12111,WC-2014,6/12/2014,500000,11/7/2013
P-12167,WC-2006,6/9/2006,25000000,4/10/2004
P-12533,WC-2018,6/14/2018,18000000,2/1/2018
P-12818,WC-2010,6/11/2010,250000,11/1/2008
P-12818,WC-2014,6/12/2014,2500000,2/1/2014
P-12818,WC-2018,6/14/2018,2000000,4/8/2016
P-13029,WC-2010,6/11/2010,11000000,10/7/2009
P-13029,WC-2014,6/12/2014,30000000,5/10/2014
P-13029,WC-2018,6/14/2018,28000000,8/6/2017
P-13162,WC-2022,11/20/2022,25000000,3/11/2022
P-13975,WC-2018,6/14/2018,40000000,5/6/2018
P-14267,WC-2006,6/9/2006,8000000,4/10/2004
P-14758,WC-2014,6/12/2014,120000000,12/6/2013
P-14758,WC-2022,11/20/2022,50000000,2/11/2022
P-14764,WC-2010,6/11/2010,2300000,2/2/2010
P-14891,WC-2018,6/14/2018,15000000,5/6/2018
P-15736,WC-2018,6/14/2018,1750000,12/3/2014
P-15896,WC-2018,6/14/2018,10000000,1/1/2018
P-16376,WC-2014,6/12/2014,10500000,11/1/2012
P-16489,WC-2018,6/14/2018,750000,6/6/2018
P-17174,WC-2018,6/14/2018,30000000,4/6/2018
P-17509,WC-2018,6/14/2018,90000000,2/1/2018
P-18164,WC-2006,6/9/2006,16000000,12/8/2005
P-18164,WC-2010,6/11/2010,5000000,2/8/2010
P-18210,WC-2010,6/11/2010,1500000,2/12/2008
P-18222,WC-2014,6/12/2014,16000000,5/10/2014
P-18598,WC-2018,6/14/2018,350000,2/2/2012
P-18599,WC-2006,6/9/2006,7000000,1/4/2005
P-18599,WC-2010,6/11/2010,21000000,3/7/2008
P-18599,WC-2014,6/12/2014,28000000,12/1/2011
P-18830,WC-2006,6/9/2006,10000000,7/8/2005
P-19339,WC-2018,6/14/2018,60000000,5/6/2018
P-19366,WC-2018,6/14/2018,750000,2/5/2018
P-19408,WC-2010,6/11/2010,11000000,10/6/2009
P-19408,WC-2014,6/12/2014,24000000,12/1/2011
P-19408,WC-2018,6/14/2018,35000000,5/6/2018
P-19776,WC-2022,11/20/2022,23000000,8/2/2022
P-20019,WC-2018,6/14/2018,2500000,5/6/2018
P-20084,WC-2010,6/11/2010,10000000,1/8/2010
P-20963,WC-2010,6/11/2010,1500000,6/1/2009
P-21208,WC-2018,6/14/2018,8000000,7/6/2017
P-21524,WC-2018,6/14/2018,35000000,4/6/2018
P-21790,WC-2014,6/12/2014,3500000,9/1/2013
P-21798,WC-2014,6/12/2014,6500000,2/7/2013
P-21890,WC-2014,6/12/2014,1500000,2/7/2013
P-22302,WC-2010,6/11/2010,1500000,2/12/2008
P-22378,WC-2006,6/9/2006,12000000,4/10/2004
P-22391,WC-2014,6/12/2014,700000,1/1/2011
P-22930,WC-2018,6/14/2018,15000000,4/6/2018
P-23070,WC-2022,11/20/2022,32000000,8/6/2022
