team_key,team_name,team_code,tournament_id,year,start_date,performance,position,stage_score,stage_tier,next_year,stage_score_next,stage_tier_next,performance_next,position_next,qualified_next,delta_stage,underperform_next,prior_status,player_retention,squad_turnover,fifa_rank,fifa_points,ranking_date,fifa_rank_next,fifa_points_next,ranking_date_next,fifa_rank_change,fifa_points_change,expected_stage_from_rank,expectation_residual,exceeded_expectations
Argentina,Argentina,ARG,WC-1994,1994,1994-06-17,round of 16,,3,Round of 16,1998,4,Quarterfinal,quarter-finals,,1,1,0,Other,0.2727272727272727,0.7272727272727273,7.0,55.0,1994-06-14,5.0,60.0,1998-05-20,-2.0,5.0,3.107943262569235,-0.10794326256923492,0
Belgium,Belgium,BEL,WC-1994,1994,1994-06-17,round of 16,,3,Round of 16,1998,1,Group stage,group stage,,1,-2,1,Other,0.45454545454545453,0.5454545454545454,26.0,44.0,1994-06-14,35.0,50.0,1998-05-20,9.0,6.0,2.39625803108693,0.6037419689130701,1
Bolivia,Bolivia,BOL,WC-1994,1994,1994-06-17,group stage,,1,Group stage,1998,0,Did not qualify,,,0,-1,1,Other,,,42.0,35.0,1994-06-14,33.0,51.0,1998-05-20,-9.0,16.0,1.7969441519439362,-0.7969441519439362,0
Brazil,Brazil,BRA,WC-1994,1994,1994-06-17,final,1.0,7,Champion,1998,6,Runner-up,final,2.0,1,-1,1,Champion,0.3181818181818182,0.6818181818181819,2.0,59.0,1994-06-14,1.0,72.0,1998-05-20,-1.0,13.0,3.2952288498014206,3.7047711501985794,1
Bulgaria,Bulgaria,BGR,WC-1994,1994,1994-06-17,third-place match,4.0,5,Semifinalist,1998,1,Group stage,group stage,,1,-4,1,Semifinalist,0.36363636363636365,0.6363636363636364,26.0,44.0,1994-06-14,35.0,50.0,1998-05-20,9.0,6.0,2.39625803108693,2.60374196891307,1
Cameroon,Cameroon,CMR,WC-1994,1994,1994-06-17,group stage,,1,Group stage,1998,1,Group stage,group stage,,1,0,0,Other,0.22727272727272727,0.7727272727272727,24.0,46.0,1994-06-14,48.0,45.0,1998-05-20,24.0,-1.0,2.471172265979804,-1.471172265979804,0
Colombia,Colombia,COL,WC-1994,1994,1994-06-17,group stage,,1,Group stage,1998,1,Group stage,group stage,,1,0,0,Other,0.45454545454545453,0.5454545454545454,16.0,51.0,1994-06-14,10.0,58.0,1998-05-20,-6.0,7.0,2.7708292055513013,-1.7708292055513013,0
Germany,Germany,DEU,WC-1994,1994,1994-06-17,quarter-finals,,4,Quarterfinal,1998,4,Quarterfinal,quarter-finals,,1,0,0,Other,0.4090909090909091,0.5909090909090908,1.0,60.0,1994-06-14,2.0,65.0,1998-05-20,1.0,5.0,3.3326859672478575,0.6673140327521425,1
Greece,Greece,GRC,WC-1994,1994,1994-06-17,group stage,,1,Group stage,1998,0,Did not qualify,,,0,-1,1,Other,,,31.0,41.0,1994-06-14,54.0,44.0,1998-05-20,23.0,3.0,2.2089724438547442,-1.2089724438547442,0
Italy,Italy,ITA,WC-1994,1994,1994-06-17,final,2.0,6,Runner-up,1998,4,Quarterfinal,quarter-finals,,1,-2,1,Runner-up,0.2727272727272727,0.7272727272727273,4.0,57.0,1994-06-14,13.0,57.0,1998-05-20,9.0,0.0,3.2203146149085464,2.7796853850914536,1
